season,team,champion share,champion,playoffs,predicted champion share,prediction rank,make finals
1965,Boston Celtics,100,TRUE,1,79.52702148,1,TRUE
1986,Boston Celtics,100,TRUE,1,79.18703664,1,TRUE
1986,Los Angeles Lakers,53.33333333,FALSE,1,78.81242171,2,FALSE
1962,Boston Celtics,100,TRUE,1,78.51131579,1,TRUE
1972,Los Angeles Lakers,100,TRUE,1,78.20678028,1,TRUE
1997,Chicago Bulls,100,TRUE,1,77.84693623,1,TRUE
1996,Chicago Bulls,100,TRUE,1,77.7540203,1,TRUE
1983,Philadelphia 76ers,100,TRUE,1,77.26525443,1,TRUE
1985,Los Angeles Lakers,100,TRUE,1,77.19539847,1,TRUE
2018,Golden State Warriors,100,TRUE,1,77.17642162,1,TRUE
1988,Los Angeles Lakers,100,TRUE,1,76.97158163,1,TRUE
1992,Chicago Bulls,100,TRUE,1,76.66892121,1,TRUE
1963,Boston Celtics,100,TRUE,1,76.55463826,1,TRUE
1960,Boston Celtics,100,TRUE,1,75.85323474,1,TRUE
1964,Boston Celtics,100,TRUE,1,75.76938198,1,TRUE
1987,Boston Celtics,86.66666667,FALSE,1,75.7095936,1,TRUE
2017,Golden State Warriors,100,TRUE,1,75.70288113,1,TRUE
1998,Chicago Bulls,100,TRUE,1,75.37350467,1,TRUE
1987,Los Angeles Lakers,100,TRUE,1,75.08384205,2,TRUE
1973,Los Angeles Lakers,75,FALSE,1,74.96556224,1,TRUE
2002,Los Angeles Lakers,100,TRUE,1,74.87103556,1,TRUE
1968,Philadelphia 76ers,58.33333333,FALSE,1,74.86943668,1,FALSE
1961,Boston Celtics,100,TRUE,1,74.62598054,1,TRUE
1991,Los Angeles Lakers,80,FALSE,1,74.08565888,1,TRUE
1974,Milwaukee Bucks,91.66666667,FALSE,1,73.65193559,1,TRUE
1967,Boston Celtics,36.36363636,FALSE,1,73.59332744,1,FALSE
2014,San Antonio Spurs,100,TRUE,1,72.98753591,1,TRUE
2009,Los Angeles Lakers,100,TRUE,1,72.67085469,1,TRUE
1990,Los Angeles Lakers,26.66666667,FALSE,1,72.03960388,1,FALSE
1983,Los Angeles Lakers,66.66666667,FALSE,1,71.49164919,2,TRUE
1959,Boston Celtics,100,TRUE,1,71.10143231,1,TRUE
1985,Boston Celtics,86.66666667,FALSE,1,70.99140156,2,TRUE
1973,Milwaukee Bucks,16.66666667,FALSE,1,70.97557996,2,FALSE
2006,San Antonio Spurs,43.75,FALSE,1,70.84650543,1,FALSE
2010,Cleveland Cavaliers,37.5,FALSE,1,70.78657613,1,FALSE
2007,San Antonio Spurs,100,TRUE,1,70.75745951,1,TRUE
2005,San Antonio Spurs,100,TRUE,1,70.56812906,1,TRUE
2013,Miami Heat,100,TRUE,1,70.53320892,1,TRUE
1990,Detroit Pistons,100,TRUE,1,70.42829638,2,TRUE
2016,Golden State Warriors,93.75,FALSE,1,70.3922216,1,TRUE
1999,Utah Jazz,33.33333333,FALSE,1,70.35831004,1,FALSE
1989,Los Angeles Lakers,73.33333333,FALSE,1,70.22105615,1,TRUE
2000,Los Angeles Lakers,100,TRUE,1,69.91549445,1,TRUE
2006,Detroit Pistons,62.5,FALSE,1,69.74789551,2,FALSE
1988,Boston Celtics,60,FALSE,1,69.27261554,2,FALSE
1998,Utah Jazz,86.66666667,FALSE,1,69.14615525,2,TRUE
2016,San Antonio Spurs,37.5,FALSE,1,69.12573886,2,FALSE
2008,Boston Celtics,100,TRUE,1,69.11633304,1,TRUE
2012,San Antonio Spurs,62.5,FALSE,1,69.09241853,1,FALSE
1984,Boston Celtics,100,TRUE,1,69.05279435,1,TRUE
2014,Oklahoma City Thunder,62.5,FALSE,1,69.03294035,2,FALSE
1980,Los Angeles Lakers,100,TRUE,1,69.00381853,1,TRUE
2019,Golden State Warriors,87.5,FALSE,1,68.77374562,1,TRUE
1972,Milwaukee Bucks,50,FALSE,1,68.73066196,2,FALSE
1989,Detroit Pistons,100,TRUE,1,68.53893386,2,TRUE
1973,Boston Celtics,58.33333333,FALSE,1,68.3993474,3,FALSE
1982,Philadelphia 76ers,100,TRUE,1,68.3743422,1,TRUE
2017,San Antonio Spurs,50,FALSE,1,68.2721363,2,FALSE
1971,Milwaukee Bucks,100,TRUE,1,68.25603699,1,TRUE
1981,Philadelphia 76ers,75,FALSE,1,68.06729717,1,FALSE
1967,Philadelphia 76ers,100,TRUE,1,68.04334482,2,TRUE
1975,Boston Celtics,50,FALSE,1,68.01949003,1,FALSE
1999,San Antonio Spurs,100,TRUE,1,67.94951523,2,TRUE
2009,Cleveland Cavaliers,62.5,FALSE,1,67.65020076,2,FALSE
2001,San Antonio Spurs,46.66666667,FALSE,1,67.39410899,1,FALSE
2009,Boston Celtics,43.75,FALSE,1,67.29324023,3,FALSE
2011,San Antonio Spurs,12.5,FALSE,1,67.04519241,1,FALSE
2013,San Antonio Spurs,93.75,FALSE,1,66.99465405,2,TRUE
1993,Chicago Bulls,100,TRUE,1,66.94388952,1,TRUE
1981,Boston Celtics,100,TRUE,1,66.93348546,2,TRUE
1997,Utah Jazz,86.66666667,FALSE,1,66.81536241,2,TRUE
2008,Detroit Pistons,62.5,FALSE,1,66.38807587,2,FALSE
2022,Phoenix Suns,43.75,FALSE,1,66.34431572,1,FALSE
1970,New York Knicks,100,TRUE,1,66.34214622,1,TRUE
1980,Boston Celtics,41.66666667,FALSE,1,65.80792056,2,FALSE
1991,Chicago Bulls,100,TRUE,1,65.74371715,2,TRUE
1973,New York Knicks,100,TRUE,1,65.67634461,4,TRUE
2011,Los Angeles Lakers,25,FALSE,1,65.61474275,2,FALSE
2018,Houston Rockets,68.75,FALSE,1,65.46757453,2,FALSE
1982,Boston Celtics,58.33333333,FALSE,1,65.33965194,2,FALSE
2012,Miami Heat,100,TRUE,1,65.21891448,2,TRUE
1985,Philadelphia 76ers,53.33333333,FALSE,1,64.99223879,3,FALSE
2002,San Antonio Spurs,26.66666667,FALSE,1,64.89976929,2,FALSE
2007,Phoenix Suns,37.5,FALSE,1,64.28461634,2,FALSE
2003,San Antonio Spurs,100,TRUE,1,63.95600976,1,TRUE
1991,Portland Trail Blazers,60,FALSE,1,63.66661105,3,FALSE
2016,Cleveland Cavaliers,100,TRUE,1,63.3998779,3,TRUE
2015,Golden State Warriors,100,TRUE,1,63.35880294,1,TRUE
2011,Miami Heat,87.5,FALSE,1,63.34471706,3,TRUE
1976,Golden State Warriors,58.33333333,FALSE,1,63.23527636,1,FALSE
1995,San Antonio Spurs,60,FALSE,1,63.16920329,1,FALSE
1993,Phoenix Suns,86.66666667,FALSE,1,62.96529646,2,TRUE
2006,Dallas Mavericks,87.5,FALSE,1,62.88800917,3,TRUE
